sampno,hh_vmt_fee_static,hh_total_vmt,hh_income_cat,hh_urbrur,hh_income_group
40464013,2.360072,107.276,7,1,mid_low
40465271,2.3547520000000004,147.172,11,1,high
40466834,3.378528,211.158,7,1,mid_low
40467095,70.9376,4433.599999999999,11,1,high
40470184,1.3640400000000001,56.835,8,1,mid_high
40471782,1.459872,60.828,4,1,low
40472870,10.302336,429.264,10,1,high
40475977,17.983999999999998,843.0,11,1,high
40481724,0.05292,2.205,6,1,mid_low
40482202,5.543296,346.456,10,1,high
40482214,44.9874,2249.37,9,1,mid_high
40482628,11.998272,749.8919999999999,11,1,high
40486139,7.444223999999999,310.176,5,1,mid_low
40488687,0.24819200000000002,15.512,7,1,mid_low
40490541,1.4055360000000001,58.564,6,1,mid_low
40491166,0.342928,21.433,7,1,mid_low
40492932,4.027264,251.704,10,1,high
40493700,1.5405600000000002,64.19,4,1,low
40496560,9.07136,453.568,4,1,low
40496921,4.382064,182.58599999999998,7,1,mid_low
40500155,12.26304,510.96,8,1,mid_high
40503090,9.837552,409.898,10,1,high
40506314,6.770544,307.752,8,1,mid_high
40508427,9.265080000000001,421.14,11,1,high
40513273,26.004800000000003,1300.24,8,1,mid_high
40513792,0.287968,17.997999999999998,7,1,mid_low
40514899,1.691,84.55,5,1,mid_low
40518064,1.42128,59.22,10,1,high
40519265,2.979584,186.224,5,1,mid_low
40523120,0.72872,36.436,11,1,high
40529820,3.718176,199.18800000000002,9,1,mid_high
40530582,7.44744,372.372,8,1,mid_high
40531547,2.6676,111.14999999999999,8,1,mid_high
40533299,0.49551999999999996,30.97,11,1,high
40537894,16.772832,1048.3020000000001,11,1,high
40539560,0.166272,6.928,11,1,high
40539940,0.029344000000000002,1.834,7,1,mid_low
40541390,3.04488,126.87,8,1,mid_high
40546203,99.946496,4684.992,9,1,mid_high
40547855,2.1187840000000002,132.424,8,1,mid_high
40550861,3.8252800000000002,191.264,11,1,high
40551171,3.018176,188.636,9,1,mid_high
40551928,11.862144,494.25600000000003,6,1,mid_low
40553097,2.23344,101.52,8,1,mid_high
40553103,2.036448,127.278,11,1,high
40553538,1.28128,80.08,9,1,mid_high
40556135,2.890872,120.453,5,1,mid_low
40561799,3.3036000000000003,137.65,5,1,mid_low
40562446,0.41796,17.415,10,1,high
40563072,36.914328,1538.097,10,1,high
40563768,0.580944,36.309,7,1,mid_low
40566359,26.070528,1185.024,10,1,high
40570664,0.29966400000000004,12.486,3,1,low
40573060,111.74803200000001,5079.456,6,1,mid_low
40579481,1.911936,119.49600000000001,6,1,mid_low
40581032,4.477536000000001,186.564,11,1,high
